Date,Rot,VH,Team,Pitcher,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,Final,Open,Close,RunLine,,OpenOU,,CloseOU,
808,954,H,CUB,KTHOMPSON,0,0,3,0,0,1,2,0,x,6,-185,-188,-1.5,110,7.5,-110,8,-110
808,955,V,PIT,TBEEDE,0,0,0,0,0,0,0,0,0,0,205,205,1.5,100,8,-115,8,-115
808,956,H,ARI,ZGALLEN,0,0,0,0,0,1,0,2,x,3,-255,-230,-1.5,-120,8,-105,8,-105
808,957,V,SFO,AWOOD-L,0,0,0,1,0,0,0,0,0,1,145,164,1.5,-130,8,-115,7.5,-110
808,958,H,SDG,BSNELL-L,0,0,0,0,0,0,0,0,0,0,-170,-178,-1.5,110,8,-105,7.5,-110
808,959,V,TOR,YKIKUCHI-L,0,0,1,0,0,1,0,2,0,4,-145,-126,-1.5,120,9,-115,9.5,-105
808,960,H,BAL,JLYLES,3,0,2,0,0,1,0,1,x,7,125,116,1.5,-140,9,-105,9.5,-115
808,961,V,LAA,JSUAREZ-L,1,0,0,0,0,0,0,0,0,1,100,120,1.5,-185,7,-120,7.5,100
808,962,H,OAK,CIRVIN-L,0,0,0,0,0,0,0,0,0,0,-120,-130,-1.5,165,7,100,7.5,-120
808,963,V,NYY,JTAILLON,2,0,2,0,3,0,0,0,2,9,-125,-108,-1.5,150,7.5,-110,8,-105
808,964,H,SEA,LGILBERT,1,0,0,1,0,0,1,0,1,4,105,-102,1.5,-170,7.5,-110,8,-115
809,901,V,MIA,BGARRETT-L,0,0,0,1,0,0,0,0,0,1,185,190,1.5,-115,7.5,100,7,-110
809,902,H,PHI,ZWHEELER,1,0,0,2,1,0,0,0,x,4,-225,-210,-1.5,-105,7.5,-120,7,-110
809,903,V,CIN,MMINOR-L,0,0,0,0,0,0,2,0,0,2,190,250,1.5,120,8,-105,8.5,-115
809,904,H,NYM,CCARRASCO,0,0,2,1,0,1,2,0,x,6,-235,-290,-1.5,-140,8,-115,8.5,-105
809,905,V,WAS,PESPINO,0,1,0,3,0,0,0,2,0,6,160,190,1.5,-115,8,-105,7.5,-110
809,906,H,CUB,MSTROMAN,0,1,0,0,0,0,4,0,0,5,-190,-210,-1.5,-105,8,-115,7.5,-110
809,907,V,STL,MMIKOLAS,0,0,0,0,2,3,0,0,0,5,-190,-162,-1.5,-115,11,-115,11,-110
809,908,H,COL,RFELTNER,3,0,9,0,0,2,2,0,x,16,160,152,1.5,-105,11,-105,11,-110
809,909,V,PIT,ZTHOMPSON,0,0,0,0,0,1,0,3,0,4,140,146,1.5,-145,8.5,-115,8.5,-115
809,910,H,ARI,THENRY-L,1,0,1,0,0,0,4,0,x,6,-165,-156,-1.5,125,8.5,-105,8.5,-105
809,911,V,SFO,ACOBB,1,0,0,0,0,0,0,0,3,4,135,158,1.5,-145,7.5,-105,7.5,100
809,912,H,SDG,JMUSGROVE,0,0,0,1,0,2,0,1,3,7,-160,-168,-1.5,125,7.5,-115,7.5,-120
809,913,V,CWS,LLYNN,0,0,1,0,0,0,0,0,1,2,-150,-115,-1.5,125,8.5,-105,8,105
809,914,H,KAN,BSINGER,0,0,2,0,0,2,0,0,x,4,130,105,1.5,-145,8.5,-115,8,-25
809,915,V,TOR,AMANOAH,0,1,0,0,0,4,0,0,0,5,-190,-156,-1.5,100,8,-105,8.5,-110
